id_tracking_company,id_talent_req,id_company,nama_perusahaan,posisi,jenis_penempatan,bidang_studi_dicari,progress,request_date,send_date,jumlah_permintaan,jumlah_dikirimkan,list_nim,status_pengiriman
TC020,TR020,C1139,CV Sentosa Solusi,HR Intern,Part-time,"Psikologi, Manajemen",Shortlisted,2023-06-07,2023-06-11,4,5,"20238058,202318977,202218237,202115911,20193924",Sudah Dikirim
TC021,TR021,C1239,CV Inti Perkasa,Mechanical Engineer Intern,Full-time,Teknik Mesin,On Review,2023-07-05,2023-07-11,1,3,"20228338,20234889,20206431",Sudah Dikirim
TC022,TR022,C965,PT Bina Digital,IT Support,Magang,"Teknik Elektro, Sistem Informasi",Closed,2023-05-14,2023-05-30,1,2,"20213229,202221596",Sudah Dikirim
TC023,TR023,C654,PT Mandiri Karya,Social Media Specialist,Part-time,"Manajemen, Ilmu Komunikasi",Shortlisted,2023-06-24,2023-07-12,1,2,"202221256,20216620",Sudah Dikirim
TC024,TR024,C861,PT Media Perkasa,Supply Chain Analyst,Magang,"Teknik Industri, Sistem Informasi",Closed,2023-03-03,2023-03-10,1,1,20237356,Sudah Dikirim
TC025,TR025,C1143,CV Sukses Cerdas,IT Support,Magang,"Informatika, Pendidikan Teknik Informatika",Closed,2023-07-11,2023-07-20,1,2,"202013414,20225868",Sudah Dikirim
TC026,TR026,C690,PT Esa Informatika,IT Support,Magang,"Pendidikan Teknik Informatika, Teknik Elektro",Submitted,2023-04-06,2023-04-26,2,3,"202217387,202216123,202221286",Sudah Dikirim
TC027,TR027,C074,CV Graha Cerdas,Data Analyst,Magang,"Sistem Informasi, Ekonomi Pembangunan",Closed,2023-02-03,2023-02-16,2,3,"202218214,202217722,202212284",Sudah Dikirim
TC028,TR028,C804,CV Karya Mandiri,Accounting Staff,Magang,"Akuntansi, Manajemen",Shortlisted,2023-04-19,2023-05-01,4,5,"202212925,202223596,202311845,202112534,202117594",Sudah Dikirim
TC029,TR029,C1152,CV Mega Sentosa,Research Assistant,Magang,"Statistika, Farmasi",Closed,2023-06-20,2023-07-06,2,5,"202112024,20222306,202110390,202219531,20227402",Sudah Dikirim
TC030,TR030,C322,PT Nusa Terapan,Compliance Officer Intern,Magang,"Ilmu Hukum, Akuntansi",Shortlisted,2023-03-02,2023-03-13,3,4,"202221873,20222986,20216881,20217940",Sudah Dikirim
TC031,TR031,C771,PT Esa Digital,Quality Control Staff,Full-time,"Agroteknologi, Teknik Mesin",Submitted,2023-04-11,2023-04-23,1,4,"20237933,202318741,20207876,202318803",Sudah Dikirim
TC032,TR032,C761,PT Digital Makmur,Customer Service Intern,Magang,"Psikologi, Ilmu Komunikasi",On Review,2023-07-03,2023-07-12,1,4,"202111784,202111630,202112267,20229318",Sudah Dikirim
TC033,TR033,C686,CV Bakti Perkasa,Data Analyst,Full-time,"Statistika, Informatika",On Review,2023-07-23,2023-08-07,2,3,"202211002,20214025,202017174",Sudah Dikirim
TC034,TR034,C1185,CV Sinergi Utama,Store Supervisor Intern,Full-time,Manajemen,Shortlisted,2023-04-26,2023-05-12,1,2,"20205253,20238801",Sudah Dikirim
TC035,TR035,C1023,PT Jaya Makmur,IT Support,Part-time,"Informatika, Pendidikan Teknik Informatika",Closed,2023-05-04,2023-05-11,3,3,"20238109,202311423,202214522",Sudah Dikirim
TC036,TR036,C937,PT Sejahtera Informatika,HR Intern,Magang,"Psikologi, Manajemen",Submitted,2023-04-14,2023-04-26,2,3,"202117617,20201927,202013121",Sudah Dikirim
TC037,TR037,C880,PT Solusi Global,Agricultural Engineer Intern,Magang,Agroteknologi,Draft,2023-03-27,,1,0,,Belum Dikirim
TC038,TR038,C818,CV Esa Global,Supply Chain Analyst,Magang,"Teknik Industri, Sistem Informasi",Submitted,2023-05-30,2023-06-19,2,2,"20220601,202119446",Sudah Dikirim
TC039,TR039,C720,PT Sejahtera Kreatif,Risk Analyst,Magang,"Statistika, Akuntansi",Closed,2023-06-20,2023-07-05,1,2,"20239238,202118171",Sudah Dikirim
TC040,TR040,C057,PT Bakti Analitika,Content Writer,Magang,"Ilmu Komunikasi, Sastra Inggris",Closed,2023-06-26,2023-07-03,3,3,"202012119,202211376,20206240",Sudah Dikirim
TC041,TR041,C436,PT Inovasi Gemilang,Underwriting Intern,Magang,"Akuntansi, Manajemen",On Review,2023-05-31,2023-06-10,2,4,"202219414,20203193,20215774,202211877",Sudah Dikirim
TC042,TR042,C709,CV Inovasi Informatika,Drafter,Magang,"Teknik Sipil, Teknik Mesin",Shortlisted,2023-06-25,2023-06-28,3,5,"202018852,20217520,202314798,202114704,202222997",Sudah Dikirim
TC043,TR043,C572,PT Techno Cerdas,Network Engineer Intern,Part-time,"Informatika, Teknik Elektro",Shortlisted,2023-07-04,2023-07-21,3,5,"20227536,202015296,202320716,20238267,202115370",Sudah Dikirim
TC044,TR044,C296,PT Sentosa Mandiri,Visual Merchandiser Intern,Magang,Desain Komunikasi Visual,Closed,2023-04-02,2023-04-21,2,4,"202320313,202317629,202311986,202116259",Sudah Dikirim
TC045,TR045,C339,PT Bangkit Informatika,IT Support,Magang,"Informatika, Pendidikan Teknik Informatika",On Review,2023-03-03,2023-03-15,3,5,"20221241,20211357,202012428,202019310,20235314",Sudah Dikirim
TC046,TR046,C893,PT Bangkit Global,Supply Chain Analyst,Part-time,"Sistem Informasi, Manajemen",Shortlisted,2023-05-26,2023-06-15,3,6,"20215544,20200280,20237977,202010973,202110632,202214847",Sudah Dikirim
TC047,TR047,C241,PT Mandiri Global,Data Analyst,Part-time,"Informatika, Manajemen",Shortlisted,2023-04-23,2023-05-07,4,6,"202220486,202113960,20228196,202019724,202111853,202118086",Sudah Dikirim
TC048,TR048,C076,PT Media Informatika,Data Analyst,Part-time,"Statistika, Manajemen",On Review,2023-07-02,2023-07-10,3,3,"202321575,20210872,202223383",Sudah Dikirim
TC049,TR049,C602,CV Cakra Media,Quality Control Staff,Magang,"Farmasi, Agroteknologi",Submitted,2023-05-08,2023-05-20,3,3,"202310076,20226068,20216750",Sudah Dikirim
TC050,TR050,C1456,CV Kreasi Karya,Marketing Intern,Magang,"Manajemen, Ilmu Komunikasi",Submitted,2023-03-16,2023-04-05,2,3,"20235888,20230076,202124861",Sudah Dikirim
TC051,TR051,C534,CV Karya Abadi,Business Development Intern,Magang,"Ekonomi Pembangunan, Manajemen",On Review,2023-04-15,2023-04-18,4,6,"201912106,20238910,20228068,20228560,202023648,20237855",Sudah Dikirim
TC052,TR052,C525,PT Sejahtera Inovasi,Environmental Analyst,Magang,"Agroteknologi, Teknik Sipil",On Review,2023-04-16,2023-04-19,3,4,"202218739,20221999,20236353,20210009",Sudah Dikirim
TC053,TR053,C1242,PT Cakra Cerdas,Visual Merchandiser Intern,Part-time,Desain Komunikasi Visual,Closed,2023-02-25,2023-03-03,1,3,"20212120,20228982,20236237",Sudah Dikirim
TC054,TR054,C485,PT Perkasa Indonesia,HSE Intern,Magang,"Teknik Industri, Teknik Mesin",Shortlisted,2023-03-07,2023-03-26,2,3,"20203233,202114650,20206431",Sudah Dikirim
TC055,TR055,C1012,CV Bina Inovasi,Frontend Developer,Magang,"Sistem Informasi, Pendidikan Teknik Informatika",Shortlisted,2023-07-10,2023-07-24,2,3,"202320650,202116853,202210657",Sudah Dikirim
TC056,TR056,C841,PT Perkasa Gemilang,Accounting Staff,Magang,"Akuntansi, Manajemen",Shortlisted,2023-06-26,2023-07-10,3,5,"20224898,202122543,202312588,202119764,20227531",Sudah Dikirim
TC057,TR057,C902,PT Global Sejahtera,Operations Intern,Magang,"Teknik Industri, Manajemen",Submitted,2023-04-25,2023-04-29,1,2,"202120990,20228855",Sudah Dikirim
TC058,TR058,C635,PT Bumi Teknologi,Geologist Intern,Part-time,Teknik Sipil,Shortlisted,2023-04-18,2023-05-05,1,4,"202323298,202121325,202210275,201919735",Sudah Dikirim
TC059,TR059,C353,PT Makmur Utama,Agricultural Engineer Intern,Part-time,Agroteknologi,Closed,2023-04-28,2023-05-02,1,2,"202312543,20209506",Sudah Dikirim
TC060,TR060,C829,PT Andalas Kreatif,NOC Technician,Magang,"Informatika, Teknik Elektro",Closed,2023-07-16,2023-08-06,3,4,"20216170,202210252,202112126,202223365",Sudah Dikirim
TC061,TR061,C741,CV Sentosa Karya,Digital Marketing Intern,Full-time,"Desain Komunikasi Visual, Manajemen",Closed,2023-07-29,2023-08-09,1,1,202211463,Sudah Dikirim
TC062,TR062,C190,CV Cakra Analitika,Production Engineer Intern,Magang,"Teknik Industri, Teknik Mesin",Closed,2023-02-26,2023-03-19,3,5,"20203363,20222970,20222098,20216578,20212104",Sudah Dikirim
TC063,TR063,C515,PT Graha Bangsa,Content Writer,Part-time,"Ilmu Komunikasi, Sastra Inggris",Shortlisted,2023-03-14,2023-03-30,3,3,"202021276,202110167,20224446",Sudah Dikirim
TC064,TR064,C1053,PT Solusi Bangsa,Customer Service Intern,Magang,"Ilmu Komunikasi, Psikologi",Closed,2023-06-03,2023-06-24,2,4,"202114832,202213451,202117022,202123993",Sudah Dikirim
TC065,TR065,C876,PT Makmur Abadi,Content Writer,Magang,"Ilmu Komunikasi, Sastra Inggris",On Review,2023-05-10,2023-05-26,1,2,"20225248,202014524",Sudah Dikirim
TC066,TR066,C599,CV Solusi Nusantara,Project Coordinator Intern,Magang,"Teknik Sipil, Manajemen",Shortlisted,2023-07-08,2023-07-20,2,2,"202112407,202316291",Sudah Dikirim
TC067,TR067,C613,CV Andalas Karya,Research Assistant,Part-time,"Farmasi, Psikologi",Draft,2023-07-04,,5,0,,Belum Dikirim
TC068,TR068,C303,PT Esa Mandiri,Marketing Staff,Magang,"Manajemen, Ilmu Komunikasi",On Review,2023-04-27,2023-05-04,5,5,"202115853,20208077,20235379,20215297,202122274",Sudah Dikirim
TC069,TR069,C1324,PT Solusi Bersama,Operations Intern,Full-time,"Teknik Industri, Manajemen",Shortlisted,2023-07-22,2023-07-30,2,3,"202018017,202224883,20226316",Sudah Dikirim
TC070,TR070,C808,PT Sejahtera Bersama,Production Planning Intern,Part-time,"Teknik Industri, Manajemen",Closed,2023-07-19,2023-08-08,1,2,"202113960,20208346",Sudah Dikirim
TC071,TR071,C446,PT Daya Global,Store Supervisor Intern,Magang,Manajemen,Closed,2023-07-17,2023-07-22,1,4,"202110322,20231894,202111268,202210908",Sudah Dikirim
TC072,TR072,C646,CV Mandiri Pratama,Marketing Intern,Magang,"Manajemen, Ilmu Komunikasi",Closed,2023-03-27,2023-04-08,1,1,202215282,Sudah Dikirim
TC073,TR073,C474,PT Cipta Nusantara,Data Engineer,Magang,"Informatika, Sistem Informasi",On Review,2023-05-22,2023-05-30,5,6,"202023228,20216522,202324050,202217820,20204623,202321560",Sudah Dikirim
TC074,TR074,C145,PT Techno Media,Data Entry Operator,Full-time,"Manajemen, Akuntansi",Closed,2023-04-23,2023-05-02,5,6,"202316239,20211404,20203647,20218115,202320510,202319260",Sudah Dikirim
TC075,TR075,C479,PT Abadi Systems,Digital Marketing Intern,Part-time,"Ilmu Komunikasi, Desain Komunikasi Visual",Shortlisted,2023-06-09,2023-06-16,3,5,"202111300,202323991,20207697,20219634,202118516",Sudah Dikirim
TC076,TR076,C1200,PT Perkasa Nusantara,Data Analyst,Magang,"Sistem Informasi, Manajemen",On Review,2023-04-10,2023-04-14,1,1,201923303,Sudah Dikirim
TC077,TR077,C1120,CV Prima Solusi,IT Support,Magang,"Pendidikan Teknik Informatika, Teknik Elektro",On Review,2023-05-21,2023-06-03,3,3,"20206977,20223918,202224052",Sudah Dikirim
TC078,TR078,C982,PT Makmur Data,Data Analyst,Magang,"Ekonomi Pembangunan, Manajemen",Shortlisted,2023-07-01,2023-07-21,5,7,"202010378,20213350,202120382,20217445,202318091,20237397,202011831",Sudah Dikirim
TC079,TR079,C358,PT Karya Global,Marketing Staff,Part-time,"Desain Komunikasi Visual, Manajemen",Submitted,2023-05-27,2023-06-15,1,2,"20215349,201920894",Sudah Dikirim
TC080,TR080,C662,PT Bumi Bangsa,Content Creator,Magang,"Ilmu Komunikasi, Desain Komunikasi Visual",Shortlisted,2023-03-10,2023-03-31,2,3,"20224416,20220976,202123717",Sudah Dikirim
TC081,TR081,C1056,PT Cakra Inovasi,UI/UX Designer,Full-time,"Informatika, Desain Komunikasi Visual",Shortlisted,2023-05-09,2023-05-25,1,1,20234093,Sudah Dikirim
TC082,TR082,C296,PT Sentosa Mandiri,Marketing Intern,Magang,"Manajemen, Ilmu Komunikasi",Closed,2023-03-16,2023-04-01,1,3,"20238577,20202484,20214452",Sudah Dikirim
TC083,TR083,C107,PT Media Cerdas,HR Intern,Magang,"Psikologi, Manajemen",Closed,2023-06-20,2023-07-07,4,7,"20209888,201917419,202220849,202122635,202215878,20232893,20205050",Sudah Dikirim
TC084,TR084,C493,PT Esa Pratama,Software Developer,Magang,"Informatika, Sistem Informasi",Closed,2023-06-24,2023-07-01,2,5,"20220072,20198650,20192696,20213874,202217754",Sudah Dikirim
TC085,TR085,C847,PT Prima Gemilang,Internal Auditor,Magang,Akuntansi,Submitted,2023-06-26,2023-07-13,1,1,202316531,Sudah Dikirim
TC086,TR086,C032,PT Bakti Kreatif,Civil Engineer Intern,Part-time,Teknik Sipil,Closed,2023-04-29,2023-05-18,2,2,"20227336,20226686",Sudah Dikirim
TC087,TR087,C289,PT Mega Solusi,Lab Technician Intern,Part-time,"Farmasi, Agroteknologi",Shortlisted,2023-03-04,2023-03-21,5,5,"20209506,202318737,20237237,20208901,201918397",Sudah Dikirim
TC088,TR088,C1064,PT Solusi Digital,Quality Control Staff,Part-time,"Teknik Industri, Agroteknologi",On Review,2023-02-23,2023-03-07,1,2,"202013438,202122394",Sudah Dikirim
TC089,TR089,C1266,PT Mitra Bangsa,Business Analyst,Magang,"Sistem Informasi, Statistika",On Review,2023-02-10,2023-02-15,2,3,"20205478,202219506,202012365",Sudah Dikirim
TC090,TR090,C1451,CV Media Abadi,HSE Intern,Full-time,"Teknik Industri, Teknik Mesin",On Review,2023-02-19,2023-02-25,3,3,"202217967,20234068,201914463",Sudah Dikirim
TC091,TR091,C955,CV Cakra Informatika,Consultant Intern,Part-time,"Sistem Informasi, Ekonomi Pembangunan",Closed,2023-03-10,2023-03-28,3,5,"20212076,202118187,202113729,202212284,202015860",Sudah Dikirim
TC092,TR092,C1261,CV Inovasi Bangsa,Data Entry Operator,Magang,"Sistem Informasi, Manajemen",Closed,2023-07-04,2023-07-08,3,4,"20217844,202118451,202123168,202211814",Sudah Dikirim
TC093,TR093,C108,PT Jaya Mandiri,Digital Marketing Intern,Magang,"Desain Komunikasi Visual, Ilmu Komunikasi",Closed,2023-05-16,2023-05-25,2,4,"202316142,202215975,202310448,20238589",Sudah Dikirim
TC094,TR094,C390,PT Bina Inovasi,IT Staff,Magang,"Teknik Elektro, Sistem Informasi",Shortlisted,2023-06-20,2023-06-28,1,3,"20219536,20234249,20230625",Sudah Dikirim
TC095,TR095,C907,PT Nusa Nusantara,DevOps Engineer,Magang,"Informatika, Sistem Informasi",Closed,2023-04-02,2023-04-05,2,4,"20229053,202318183,202118863,20196195",Sudah Dikirim
TC096,TR096,C393,PT Cipta Gemilang,Customer Service Intern,Magang,"Ilmu Komunikasi, Psikologi",Closed,2023-07-23,2023-08-08,1,1,202311482,Sudah Dikirim
TC097,TR097,C828,PT Bina Cerdas,Data Analyst,Magang,"Informatika, Manajemen",Shortlisted,2023-03-26,2023-04-02,3,5,"202321003,202318408,202115360,202219181,202218149",Sudah Dikirim
TC098,TR098,C1234,PT Graha Perkasa,Quality Control Staff,Magang,"Farmasi, Agroteknologi",Closed,2023-07-05,2023-07-12,2,4,"20214950,202123004,202124807,202116122",Sudah Dikirim
TC099,TR099,C495,PT Digital Mandiri,Content Writer,Full-time,"Ilmu Komunikasi, Sastra Inggris",Submitted,2023-06-21,2023-07-01,2,2,"202118886,202210262",Sudah Dikirim
TC100,TR100,C054,PT Indo Sejahtera,Consultant Intern,Magang,"Sistem Informasi, Ekonomi Pembangunan",Closed,2023-06-04,2023-06-24,3,5,"20235783,202121001,202219404,20238272,202314519",Sudah Dikirim
TC101,TR101,C393,PT Cipta Gemilang,Customer Service Intern,Magang,"Manajemen, Psikologi",Shortlisted,2023-05-17,2023-05-22,1,3,"202319629,20203854,20210672",Sudah Dikirim
TC102,TR102,C1258,CV Techno Inovasi,Customer Service Intern,Magang,"Psikologi, Manajemen",Shortlisted,2023-03-01,2023-03-04,2,3,"202317370,20226462,20238535",Sudah Dikirim
TC103,TR103,C321,PT Techno Indonesia,IT Consultant Intern,Magang,"Informatika, Sistem Informasi",Shortlisted,2023-06-13,2023-06-20,1,3,"202024844,20220305,202011965",Sudah Dikirim
TC104,TR104,C606,PT Esa Bersama,Production Engineer Intern,Magang,"Teknik Industri, Teknik Mesin",Shortlisted,2023-07-16,2023-07-30,1,3,"20200653,20219676,20217871",Sudah Dikirim
TC105,TR105,C1325,CV Sentosa Gemilang,Data Entry Operator,Magang,"Akuntansi, Manajemen",On Review,2023-07-17,2023-07-28,3,3,"202015927,20211788,20218981",Sudah Dikirim
TC106,TR106,C356,CV Sentosa Inovasi,Data Analyst,Magang,"Statistika, Ekonomi Pembangunan",On Review,2023-06-16,2023-06-27,4,6,"202120648,20212879,20215922,202218462,202222240,20239474",Sudah Dikirim
TC107,TR107,C742,CV Bina Informatika,Content Writer,Full-time,"Ilmu Komunikasi, Sastra Inggris",On Review,2023-02-27,2023-03-13,1,4,"202222186,20218776,202311795,202013146",Sudah Dikirim
TC108,TR108,C1443,PT Global Media,Business Analyst,Magang,"Manajemen, Statistika",On Review,2023-03-27,2023-04-08,5,8,"20231282,202314982,202220212,202112153,20227402,202112646,202011895,202223640",Sudah Dikirim
TC109,TR109,C881,CV Esa Karya,Data Entry Operator,Magang,"Sistem Informasi, Akuntansi",On Review,2023-06-03,2023-06-13,3,4,"20236069,202223301,20214510,20227076",Sudah Dikirim
TC110,TR110,C1337,CV Mandiri Nusantara,Marketing Staff,Magang,"Desain Komunikasi Visual, Manajemen",Shortlisted,2023-03-22,2023-03-29,3,5,"20221328,202320386,202218835,20230493,202317046",Sudah Dikirim
TC111,TR111,C1117,CV Media Digital,IT Support,Full-time,"Informatika, Pendidikan Teknik Informatika",On Review,2023-04-28,2023-05-04,2,5,"20230958,20212451,20203501,20222309,202018371",Sudah Dikirim
TC112,TR112,C1463,PT Sejahtera Media,Frontend Developer,Magang,"Pendidikan Teknik Informatika, Sistem Informasi",Closed,2023-03-30,2023-04-10,2,3,"202220303,20215280,20235876",Sudah Dikirim
TC113,TR113,C1242,PT Cakra Cerdas,Visual Merchandiser Intern,Part-time,Desain Komunikasi Visual,Shortlisted,2023-07-08,2023-07-13,1,1,202023321,Sudah Dikirim
TC114,TR114,C317,CV Techno Indonesia,Underwriting Intern,Part-time,"Akuntansi, Manajemen",Submitted,2023-03-30,2023-04-07,2,2,"202123483,20209642",Sudah Dikirim
TC115,TR115,C217,CV Nusa Informatika,Project Coordinator Intern,Magang,"Teknik Sipil, Teknik Industri",Draft,2023-04-12,,1,0,,Belum Dikirim
TC116,TR116,C052,PT Techno Bangsa,Customer Service Intern,Full-time,"Psikologi, Ilmu Komunikasi",Shortlisted,2023-02-02,2023-02-20,2,4,"202117484,202223420,20200737,202220358",Sudah Dikirim
TC117,TR117,C861,PT Media Perkasa,Warehouse Staff,Magang,"Teknik Industri, Manajemen",Closed,2023-03-06,2023-03-15,1,4,"202120669,202016344,20222166,202215648",Sudah Dikirim
TC118,TR118,C1234,PT Graha Perkasa,Research Assistant,Full-time,"Agroteknologi, Statistika",Shortlisted,2023-05-21,2023-06-03,1,1,20213617,Sudah Dikirim
TC119,TR119,C1465,CV Andalas Sentosa,Data Entry Operator,Magang,"Sistem Informasi, Akuntansi",On Review,2023-06-01,2023-06-07,4,7,"202210655,202219901,202120848,20236746,202312600,20218089,20210409",Sudah Dikirim
TC120,TR120,C481,PT Sejahtera Utama,NOC Technician,Part-time,"Informatika, Teknik Elektro",On Review,2023-03-15,2023-04-01,4,5,"202113917,202216324,202315197,20229342,20231106",Sudah Dikirim
TC121,TR121,C225,PT Sejahtera Logistik,Customer Success Intern,Magang,"Ilmu Komunikasi, Manajemen",Closed,2023-02-03,2023-02-06,3,4,"202223622,20211972,20220401,202114464",Sudah Dikirim
TC122,TR122,C219,PT Abadi Sejahtera,Data Analyst,Magang,"Ekonomi Pembangunan, Informatika",Closed,2023-03-20,2023-04-01,4,4,"20224670,202114679,202114055,20220333",Sudah Dikirim
TC123,TR123,C210,PT Bumi Informatika,Research Assistant,Magang,"Statistika, Farmasi",Submitted,2023-07-18,2023-08-08,3,4,"202323464,20236705,202110097,202113757",Sudah Dikirim
TC124,TR124,C168,PT Global Indonesia,Marketing Intern,Full-time,"Manajemen, Ilmu Komunikasi",Closed,2023-06-25,2023-07-07,3,4,"20229830,20222941,20229530,20202210",Sudah Dikirim
TC125,TR125,C909,CV Andalas Digital,IT Consultant Intern,Part-time,"Informatika, Sistem Informasi",Closed,2023-05-30,2023-06-08,1,3,"202321606,20203528,20199681",Sudah Dikirim
TC126,TR126,C1070,CV Bangkit Media,IT Staff,Magang,"Sistem Informasi, Teknik Elektro",On Review,2023-06-23,2023-06-26,2,3,"202215759,20234249,20222973",Sudah Dikirim
TC127,TR127,C678,CV Media Data,Drafter,Magang,"Teknik Sipil, Teknik Mesin",Submitted,2023-02-23,2023-03-13,3,4,"202124715,20232303,20224943,202111911",Sudah Dikirim
TC128,TR128,C1110,PT Mitra Gemilang,Environmental Analyst,Full-time,"Agroteknologi, Teknik Sipil",On Review,2023-03-25,2023-04-15,1,4,"202321856,202310379,202211825,202223310",Sudah Dikirim
TC129,TR129,C836,PT Kreasi Analitika,DevOps Engineer,Magang,"Informatika, Sistem Informasi",On Review,2023-04-02,2023-04-08,1,3,"202122717,202318153,20218657",Sudah Dikirim
TC130,TR130,C1015,CV Abadi Media,Data Analyst,Magang,"Manajemen, Statistika",Closed,2023-04-13,2023-04-28,4,6,"202310730,20191403,20228075,20207044,202319026,202222079",Sudah Dikirim
TC131,TR131,C1467,CV Mandiri Informatika,Research Intern,Magang,"Psikologi, Statistika",Submitted,2023-02-21,2023-03-13,2,3,"202210964,202119021,202214518",Sudah Dikirim
TC132,TR132,C171,PT Prima Data,Marketing Staff,Magang,"Manajemen, Ilmu Komunikasi",Shortlisted,2023-04-13,2023-04-24,1,3,"202117890,20216620,20236049",Sudah Dikirim
TC133,TR133,C052,PT Techno Bangsa,Digital Marketing Intern,Part-time,"Desain Komunikasi Visual, Ilmu Komunikasi",On Review,2023-04-05,2023-04-11,1,4,"202120232,20218776,20229553,202113799",Sudah Dikirim
TC134,TR134,C889,PT Techno Informatika,Business Analyst,Magang,"Sistem Informasi, Statistika",On Review,2023-03-26,2023-04-15,3,6,"20235876,202210995,202213852,20216519,202312347,202124650",Sudah Dikirim
TC135,TR135,C594,CV Abadi Gemilang,Quality Control Staff,Part-time,"Agroteknologi, Teknik Mesin",Closed,2023-06-05,2023-06-25,4,4,"202211829,201916407,202214689,202221830",Sudah Dikirim
TC136,TR136,C576,PT Nusa Indonesia,Industrial Engineer Intern,Magang,Teknik Industri,Submitted,2023-04-25,2023-04-29,1,2,"202312523,202114887",Sudah Dikirim
TC137,TR137,C031,PT Bangkit Digital,Environmental Analyst,Magang,"Agroteknologi, Teknik Sipil",On Review,2023-07-09,2023-07-21,3,5,"202021208,202020367,20227427,202121764,202216907",Sudah Dikirim
TC138,TR138,C959,CV Nusa Bersama,IT Consultant Intern,Magang,"Informatika, Sistem Informasi",Closed,2023-05-25,2023-05-30,1,1,202118429,Sudah Dikirim
TC139,TR139,C504,CV Digital Utama,Compliance Officer Intern,Magang,"Ilmu Hukum, Akuntansi",Closed,2023-06-07,2023-06-21,1,3,"20210882,202024960,202120336",Sudah Dikirim
